id,llm_label,llm_score,llm_sarcasm,llm_ethics,cache_sig,model
30022,negative,0.4,0.0,none,6328f826e2ae,meta-llama/llama-4-maverick:free
74959,negative,0.8,1.0,"bias,job_displacement",f63b7fbf34dd,meta-llama/llama-4-maverick:free
14957,negative,0.9,0.0,safety,1905e75bc173,meta-llama/llama-4-maverick:free
12503,negative,0.8,1.0,bias,783be27d92ec,meta-llama/llama-4-maverick:free
38696,negative,0.4,0.0,none,f1ca659a49bc,meta-llama/llama-4-maverick:free
31118,neutral,0.0,0.0,none,181fa378d4b0,meta-llama/llama-4-maverick:free
67936,positive,0.9,0.0,none,1b2e6398faf5,meta-llama/llama-4-maverick:free
17879,negative,0.9,1.0,bias,bc3291e8863e,meta-llama/llama-4-maverick:free
22485,negative,0.8,0.0,bias,102a729b484f,meta-llama/llama-4-maverick:free
78212,negative,0.7,1.0,bias,f20a6b83f395,meta-llama/llama-4-maverick:free
18804,neutral,0.0,0.0,none,404b9e7775fc,meta-llama/llama-4-maverick:free
77063,negative,0.8,0.0,bias,e713702d6f87,meta-llama/llama-4-maverick:free
86757,negative,0.6,0.0,none,01954f14c2cf,meta-llama/llama-4-maverick:free
29877,negative,0.8,0.0,safety,5784ebc09edc,meta-llama/llama-4-maverick:free
80980,negative,0.8,1.0,bias,9077d67faba8,meta-llama/llama-4-maverick:free
74769,positive,0.8,0.0,none,f957eae02448,meta-llama/llama-4-maverick:free
97582,negative,0.6,0.0,none,100cc32de422,meta-llama/llama-4-maverick:free
5673,negative,0.7,1.0,bias,603115756820,meta-llama/llama-4-maverick:free
63030,negative,0.8,0.0,bias,caad1d1e3a21,meta-llama/llama-4-maverick:free
71881,negative,0.7,1.0,bias,18e2915a5b23,meta-llama/llama-4-maverick:free
47827,negative,0.7,0.0,transparency,6007a2ee107f,meta-llama/llama-4-maverick:free
83918,negative,0.8,0.0,transparency,3ee414de1743,meta-llama/llama-4-maverick:free
76816,negative,0.9,1.0,bias,444b5caf2d10,meta-llama/llama-4-maverick:free
94747,negative,0.7,0.0,bias,80ee86193c64,meta-llama/llama-4-maverick:free
76881,negative,0.8,1.0,bias,ca641bd83c3f,meta-llama/llama-4-maverick:free
93218,positive,0.8,0.0,none,a0f470ec44a0,meta-llama/llama-4-maverick:free
21607,neutral,0.0,0.0,none,26468064e6cd,meta-llama/llama-4-maverick:free
19056,negative,0.7,1.0,bias,e8111aef06b2,meta-llama/llama-4-maverick:free
76603,negative,0.6,1.0,bias,ad4fd7645f80,meta-llama/llama-4-maverick:free
73693,negative,0.8,0.0,bias,86392a42e107,meta-llama/llama-4-maverick:free
66731,negative,0.7,1.0,bias,41c824653399,meta-llama/llama-4-maverick:free
2408,negative,0.7,0.0,none,dfc1f0404958,meta-llama/llama-4-maverick:free
29929,negative,0.9,1.0,none,a60950fdceb4,meta-llama/llama-4-maverick:free
13473,negative,0.8,0.0,none,71dfb99400bc,meta-llama/llama-4-maverick:free
79516,negative,0.7,0.0,none,3d34133a7a77,meta-llama/llama-4-maverick:free
53532,negative,0.6,0.0,none,c5d32d4f6af0,meta-llama/llama-4-maverick:free
38319,neutral,0.0,0.0,none,64f194d112c5,meta-llama/llama-4-maverick:free
52264,negative,0.9,1.0,bias,85d9ea95c4fd,meta-llama/llama-4-maverick:free
93601,negative,0.7,0.0,none,cb3ca2d98554,meta-llama/llama-4-maverick:free
74960,negative,0.7,0.0,none,e5c5f1bdfd80,meta-llama/llama-4-maverick:free
94270,negative,0.7,0.0,job_displacement,0f8de5ac417d,meta-llama/llama-4-maverick:free
18116,negative,0.7,0.0,privacy,8f0e40baac31,meta-llama/llama-4-maverick:free
59812,neutral,0.0,0.0,none,3744abad0fa2,meta-llama/llama-4-maverick:free
6614,negative,0.7,1.0,"bias,privacy",99baa534d1fb,meta-llama/llama-4-maverick:free
50559,neutral,0.0,0.0,job_displacement,1fe807c265dd,meta-llama/llama-4-maverick:free
54367,positive,0.7,0.0,none,ed63b416d18f,meta-llama/llama-4-maverick:free
62774,positive,0.8,0.0,none,eb5a488b311e,meta-llama/llama-4-maverick:free
26248,negative,0.7,1.0,bias,7598bd8da7e2,meta-llama/llama-4-maverick:free
99084,neutral,0.0,0.0,none,af522a8035e0,meta-llama/llama-4-maverick:free
23283,positive,0.8,0.0,none,79a4191114a2,meta-llama/llama-4-maverick:free
58857,negative,0.8,1.0,"bias,job_displacement",1a766fa866be,meta-llama/llama-4-maverick:free
23283,positive,0.8,0.0,none,79a4191114a2,meta-llama/llama-4-maverick:free
