id,text,platform,vader_label,Qwen_label,Qwen_score,Llama_label,Llama_score,Hermes_label,Hermes_score,Human_label,Human_sarcasm,Human_ethics
2408,Believe it. Its not much better here.,youtube,negative,negative,-0.4,negative,0.7,negative,-0.6,negative,False,"bias,governance"
5673,I don't think there is to much to worie about not to much intelligence l,youtube,positive,negative,-0.4,negative,0.7,negative,-0.4,negative,True,bias
6614,[REDACTED] [REDACTED] Please see my profile. I got shadowbanned today fo,twitter,positive,negative,-0.6,negative,0.7,negative,-0.4,neutral,False,"bias,privacy"
12503,"What a load of crap, a law that simultaneously makes people pay for ""Aus",youtube,negative,negative,-0.6,negative,0.8,negative,-0.8,negative,True,"bias,transparency"
13473,It's worse,youtube,negative,negative,-0.5,negative,0.8,negative,-0.8,negative,False,none
14957,AI scam ads must be made illegal ... this is automated fraud and theft,youtube,negative,negative,-0.7,negative,0.9,negative,-0.7,negative,False,"safety,transparency"
17879,Look what they did to night life in south east Queensland and would have,youtube,negative,negative,-0.9,negative,0.9,negative,-0.9,negative,True,"accountability,bias"
18116,Except this isn't a good thing if they're taking the same approach as De,youtube,negative,negative,-0.7,negative,0.7,negative,-0.6,negative,False,"privacy,safety"
18804,Release the Net Zero Files.,youtube,neutral,neutral,0.0,neutral,0.0,neutral,0.0,neutral,False,transparency
19056,​ [REDACTED] Lol Start small Capeboy 🧛... Build a political party that c,youtube,positive,negative,-0.4,negative,0.7,negative,-0.5,negative,True,bias
21607,Release the Net Zero files.,youtube,neutral,neutral,0.0,neutral,0.0,neutral,0.0,neutral,False,"accountability,transparency"
22485,Neitralize the Labour scourge,youtube,neutral,negative,-0.7,negative,0.8,negative,-0.6,negative,True,governance
23283,"""Why I'm never writing a daily standup again..."" As Australia's leading ",twitter,neutral,positive,0.7,positive,0.8,neutral,0.0,neutral,True,none
26248,"[REDACTED] That is as AI fake as it comes, let me share a real photo. An",twitter,positive,negative,-0.4,negative,0.7,negative,-0.4,negative,True,bias
29877,youtube.com/channel/UCKLw84y4fZTd8hZh1PcJxxA I have seen countless ads u,youtube,negative,negative,-0.7,negative,0.8,negative,-0.7,negative,True,"safety,transparency"
29929,I'm in Germany right now. Stay where you are. Not worth coming to Austra,youtube,negative,negative,-0.8,negative,0.9,negative,-0.9,negative,True,"bias,governance"
30022,Copyright? Most content is trawled freely for comment sites the internet,youtube,positive,neutral,0.0,negative,0.4,negative,-0.6,negative,False,none
31118,"The horse has already bolted, and most of what people seek to protect is",youtube,positive,negative,-0.5,neutral,0.0,negative,-0.5,negative,True,job_displacement
38319,[REDACTED] Its the truth.,youtube,positive,neutral,0.0,neutral,0.0,neutral,0.0,neutral,False,none
38696,Does that mean writers illustrators and books are NOT protected?,youtube,negative,neutral,0.0,negative,0.4,negative,-0.4,negative,False,"accountability,job_displacement,transparency"
47827,"Is there a possibility that people cant do any memes anymore ´, especial",youtube,neutral,negative,-0.6,negative,0.7,negative,-0.7,negative,False,"governance,transparency"
50559,"[REDACTED] [REDACTED] Australia might introduce a ""robot productivity ta",twitter,positive,neutral,0.0,neutral,0.0,neutral,0.0,neutral,False,"bias,governance,job_displacement"
52264,Australian labour is anti-semetic and stupid. Destroying our country,youtube,negative,negative,-0.9,negative,0.9,negative,-0.8,negative,True,"bias,governance"
53532,Hope you don't get arrested for writing this! 🙏❤️,youtube,positive,neutral,0.0,negative,0.6,negative,-0.5,neutral,False,privacy
54367,Clarity cuts through noise. Relevance earns attention. . . . #advertisin,twitter,positive,positive,0.5,positive,0.7,neutral,0.0,neutral,True,none
58857,[REDACTED] How about productivity? Unions turn up to the productivity su,twitter,negative,negative,-0.5,negative,0.8,negative,-0.5,negative,True,"bias,job_displacement"
59812,Fuentoro AI Trading REVIEWS Australia!😰 Is it a Scam? What is Fuentoro A,twitter,negative,negative,-0.5,neutral,0.0,negative,-0.5,neutral,False,transparency
62774,Zoho Tables is now available in the Australian Data Center! 🇦🇺 Organize ,twitter,positive,positive,0.6,positive,0.8,positive,0.6,positive,True,none
63030,Labour government dragging us into the dark ages,youtube,neutral,negative,-0.7,negative,0.8,negative,-0.8,negative,True,"bias,governance"
66731,"Greetings from Germany. May i come, please? Our regime is nuts😂",youtube,positive,negative,-0.3,negative,0.7,positive,0.3,negative,True,bias
67936,I pray all will know the love of The Prince of Peace Jesus The Messiah ❤,youtube,positive,positive,0.8,positive,0.9,positive,0.8,positive,False,other
71881,WoW NewsCorpse supports the Labor government decision... Outsiders After,youtube,positive,negative,-0.5,negative,0.7,negative,-0.4,negative,True,bias
73693,"Albo Must stop mass immigration 600,000 a year thats 6 million in 10 yea",youtube,negative,negative,-0.7,negative,0.8,negative,-0.7,negative,True,"bias,job_displacement"
74769,Spot on with that 👌,youtube,positive,positive,0.6,positive,0.8,positive,0.5,positive,False,none
74959,"AI = not stoppable.., as USA can be lead by maybe 30 peoples and all the",youtube,negative,negative,-0.8,negative,0.8,negative,-0.8,negative,True,"bias,job_displacement"
74960,[REDACTED] They'll have to arrest a lot of people then?,youtube,negative,neutral,0.0,negative,0.7,negative,-0.4,neutral,False,"governance,privacy"
76603,"[REDACTED]-i8u So by that logic, Trump doesn't need to release the Epste",youtube,positive,neutral,0.0,negative,0.6,negative,-0.4,negative,True,bias
76816,ANYTHING Labor touches TURNS TO SH*T! So this AI stuff will no doubt hur,youtube,positive,negative,-0.9,negative,0.9,negative,-0.8,negative,True,bias
76881,As usual they have to cause the problem to look like they’ve solved the ,youtube,positive,negative,-0.7,negative,0.8,negative,-0.7,negative,True,bias
77063,AI is a lot useable and trustworthy that the current Labor government.,youtube,positive,negative,-0.3,negative,0.8,negative,-0.5,negative,True,bias
78212,Maybe introduce AI to the Coalition; they're certainly lacking in intell,youtube,positive,negative,-0.4,negative,0.7,negative,-0.4,negative,True,bias
79516,[REDACTED] Well not yet but not too far off.,youtube,positive,negative,-0.3,negative,0.7,negative,-0.4,negative,False,none
80980,Peter can't wait for Aussies to be boosted and receive Forehead Barcodes,youtube,positive,negative,-0.5,negative,0.8,negative,-0.6,negative,True,"bias,privacy,safety"
83918,"Yes, make no mistake, this is about nothing other than control, using co",youtube,positive,negative,-0.8,negative,0.8,negative,-0.9,negative,False,"bias,transparency"
86757,Which means zero trust,youtube,positive,negative,-0.6,negative,0.6,negative,-0.8,negative,False,"safety,transparency"
93218,Successful ALP governing 🇦🇺....,youtube,positive,positive,0.6,positive,0.8,positive,0.6,positive,False,bias
93601,​ [REDACTED] I believe it! But I heard they were arresting people for wr,youtube,positive,neutral,0.0,negative,0.7,negative,-0.6,negative,False,"governance,privacy"
94270,"This is a serious matter, and it’s coming for everyone’s job (purpose or",youtube,positive,negative,-0.6,negative,0.7,negative,-0.7,negative,True,"job_displacement,safety"
94747,Medicare? Thanks labor,youtube,positive,negative,-0.5,negative,0.7,negative,-0.6,negative,True,bias
97582,The biggest problem here is that copyright has become a scourge on socie,youtube,negative,negative,-0.8,negative,0.6,negative,-0.7,negative,True,"bias,transparency"
99084,"“Should Australia develop its own AI, or are we better off surrendering ",twitter,positive,neutral,0.0,neutral,0.0,neutral,0.0,neutral,True,"safety,transparency"
