id,text,Human_sarcasm,Human_label,Human_ethics
2408,Believe it. Its not much better here.,False,negative,"bias,governance"
5673,I don't think there is to much to worie about not to much intelligence left in Australia 😂,True,negative,bias
6614,"[REDACTED] [REDACTED] Please see my profile. I got shadowbanned today for posting this to too men who know the cobra. And I can prove it because the cloud passes everything onto it E heavens right now when Australia catches up to us and all of the AI companies that are based in Japan in Australia, get",False,neutral,"bias,privacy"
12503,"What a load of crap, a law that simultaneously makes people pay for ""Australian stories"" and guarantees that they will be told worldwide when  other stories are free.   
How about stop trying to regulate and micro manage everything that happens, especially the stuff you don't understand.  This is just another backdoor to internet censorship.",True,negative,"bias,transparency"
13473,It's worse,False,negative,none
14957,AI scam ads must be made illegal ... this is automated fraud and theft,False,negative,"safety,transparency"
17879,"Look what they did to night life in south east Queensland and would have been a RINO if he was a Republican Crisafulli is even worse turning Australia into the most unfree state in the world, hospitality workers and shift workers are seen as a slave class to these monsters that don't have a right to a social life unless they want to use the pokies bunch of fkwits the lot of them.",True,negative,"accountability,bias"
18116,"Except this isn't a good thing if they're taking the same approach as Denmark bcos that will mean creators biometric data will be held and could be used for Digital ID, i dont trust this at all no matter how much i dislike AI",False,negative,"privacy,safety"
18804,Release the Net Zero Files.,False,neutral,transparency
19056,"​ [REDACTED] 
Lol
Start small Capeboy 🧛...
Build a political party that can compete with PM Albanese and the ALP first.......👍

After Matt Cannavans car crash interview on insiders, I'll assume with confidence you have a mountain to climb...

😆😆😆",True,negative,bias
21607,Release the Net Zero files.,False,neutral,"accountability,transparency"
22485,Neitralize the Labour scourge,True,negative,governance
23283,"""Why I'm never writing a daily standup again...""

As Australia's leading AI company, we’re hands-on building with [REDACTED]  new #AgentKit and #ChatKit to experiment and push the limits of the latest technology to hit the market.

In just two days, our developer Geoff McCosker used [URL]",True,neutral,none
26248,"[REDACTED] That is as AI fake as it comes, let me share a real photo. And 30% again behind. This is a movement that is awakening the true Aussie spirit. Come join us on Australia Day 2026. [URL]",True,negative,bias
29877,"youtube.com/channel/UCKLw84y4fZTd8hZh1PcJxxA


I have seen countless ads using AI of someone famous, pretending they have a way for everyone to earn lots of money. When will YouTube and Farcebook stop these ads.",True,negative,"safety,transparency"
