Id,Start time,Completion time,Email,Name,What is your age group?,What is your gender identity?,"Overall, how do you feel about the use of AI technologies in Australian law enforcement and national security?",How familiar are you with how AI is currently used by Australian law enforcement?,How much do you trust Australian law enforcement agencies to use AI technologies responsibly?,"In your own words how do you feel about the use of AI by law enforcement (police, security) in Australia?",Rate the following statements on how much you agree or disagree with them..AI in law enforcement threatens personal privacy.,Rate the following statements on how much you agree or disagree with them..AI in law enforcement reduces my trust because of how personal data is collected and used.,"Rate the following statements on how much you agree or disagree with them..AI in law enforcement reduces my trust because of increased monitoring (e.g., facial recognition, tracking).",Rate the following statements on how much you agree or disagree with them..There is not enough accountability for how AI is used in law enforcement.,"Rate the following statements on how much you agree or disagree with them..If an AI system makes an incorrect or unfair decision, it should be easy for people to challenge or appeal that decision.",Rate the following statements on how much you agree or disagree with them..AI decisions in policing should always be subject to human review.,Rate the following statements on how much you agree or disagree with them..I find it easy to access and understand information about how AI is being used by law enforcement in Australia.,Rate the following statements on how much you agree or disagree with them..Information about how AI is used in law enforcement should be easily accessible to the public.,Rate the following statements on how much you agree or disagree with them..The government should involve the public in decisions about how AI is used in law enforcement.,Rate the following statements on how much you agree or disagree with them..I believe AI could reduce human bias in policing compared to traditional methods.,Rate the following statements on how much you agree or disagree with them..AI decision-making can reinforce bias or discrimination.,Rate the following statements on how much you agree or disagree with them..AI increases the risk of misuse or abuse of power.,Rate the following statements on how much you agree or disagree with them..I believe there are adequate legal safeguards in Australia to regulate the use of AI in policing and security.,Rate the following statements on how much you agree or disagree with them..I believe AI can make law enforcement more effective in preventing crime.,Rate the following statements on how much you agree or disagree with them..I would feel safer if AI technologies were widely used in national security in Australia.,"Rate the following statements on how much you agree or disagree with them..I am more concerned about the use of AI by law enforcement than its use in other areas (e.g., healthcare, education, business","In your opinion, what are the main benefits of AI in law enforcement?","What concerns, if any, do you have about the use of AI in law enforcement?",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?
1,9/12/2025 20:28,9/12/2025 20:38,anonymous,,18-24,Woman,4,1,3,,Agree,Neutral,Neutral,Agree,,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,,stealing information for personal gain depending how has access,"only using it IF there is no other option in a hard case, common statistics i.g likley hood of running red lights "
2,9/13/2025 14:11,9/13/2025 14:15,anonymous,,18-24,Woman,5,0,7,It is a good idea but should only be used after alot of checking and ensure that the ai give the best result,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,More fair and can reduce human resources ,None,Having human checking over it 
3,9/13/2025 14:11,9/13/2025 14:16,anonymous,,18-24,Woman,6,2,3,It could be helpful and make it easier to catch criminals or analyse data but it needs to be used ethically without be discriminatory or having inbuilt biases,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,"More time efficient, reduce manual administration tasks, solve crime more efficiently and prevent crime better","Invasion of privacy, lack of transparency, gathered knowledge being misused","Introduction of clear laws about the use of AI in policing, more transparency by the police about how AI or the data collected by AI is actually used, "
4,9/13/2025 14:15,9/13/2025 14:17,anonymous,,18-24,Woman,6,2,5,"Can we used effectively, could also be abused. Unsure",Neutral,Disagree,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,"Reduces bias, increases accuracy",Safeguards,Transparency rules
5,9/13/2025 14:19,9/13/2025 14:22,anonymous,,18-24,Woman,6,3,5,it can be helpful but only if the use is limited,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,time management ,privacy ,firstly educating the society about its yse
6,9/13/2025 14:58,9/13/2025 15:03,anonymous,,18-24,Man,7,3,4,I think it a good idea especially with facial recognition ,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Faster recognition of the criminal and information collection,All the information they can collect,Police getting rid of all the info They’ve collected after the case is done
7,9/13/2025 15:02,9/13/2025 15:45,anonymous,,18-24,Woman,6,0,4,,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,"More efficient, if trained well can reduce biases","Data protection, potential biases",Transparency in what the ai is doing and how it’s handling your data
8,9/13/2025 16:24,9/13/2025 16:41,anonymous,,18-24,Man,3,3,4,"If proper protocols aren't build in, integrating AI into law enforcement could be a slippery slope into mass surveillance and discriminatory policing.",Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,"Handling monotonous, time-consuming tasks that don’t rely on (or appear to rely on) people’s personal identity such as cybercrime detection and automatic number-plate recognition.",Facial recognition and CCTV analytics that can misidentify people and their intentions.,"data retention, limitations of how AI can be used, review from human officers before actions are taken."
9,9/13/2025 23:05,9/13/2025 23:12,anonymous,,45-54,Man,5,3,5,"Following the debacle with Robodebt , I am concerned if law enforcement relies on AI. However there are advantages to AI in law enforcement as AI can analyse data across systems which can assist with law enforcement. Thus I support use of AI for intelligence gathering. However I believe that government should complement with review by humans. ",Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly Disagree,Strongly agree,Agree,Disagree,Data analysis ,Lack of transparency ,Human review and clear parameters for when ai is used 
10,9/14/2025 10:45,9/14/2025 10:53,anonymous,,45-54,Woman,10,5,9,I think it will create efficiencies. Allow police to concentrate on actual policing rather than paperwork. ,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly agree,Agree,Disagree,Create efficiencies & minimise time on administrative activities. Would also speed up manual processes.,Who holds the data. Is the information safe from foreign interference. ,Data held in Australia. AI activities reviewed by humans. 
