id,llm_label,llm_score,llm_sarcasm,llm_ethics,cache_sig,model
30022,negative,-0.6,0.0,none,6328f826e2ae,nousresearch/hermes-3-llama-3.1-405b:free
74959,negative,-0.8,0.0,bias,f63b7fbf34dd,nousresearch/hermes-3-llama-3.1-405b:free
14957,negative,-0.7,0.0,none,1905e75bc173,nousresearch/hermes-3-llama-3.1-405b:free
12503,negative,-0.8,1.0,bias,783be27d92ec,nousresearch/hermes-3-llama-3.1-405b:free
38696,negative,-0.4,0.0,none,f1ca659a49bc,nousresearch/hermes-3-llama-3.1-405b:free
31118,negative,-0.5,0.0,none,181fa378d4b0,nousresearch/hermes-3-llama-3.1-405b:free
67936,positive,0.8,0.0,none,1b2e6398faf5,nousresearch/hermes-3-llama-3.1-405b:free
17879,negative,-0.9,0.0,bias,bc3291e8863e,nousresearch/hermes-3-llama-3.1-405b:free
22485,negative,-0.6,0.0,none,102a729b484f,nousresearch/hermes-3-llama-3.1-405b:free
78212,negative,-0.4,1.0,none,f20a6b83f395,nousresearch/hermes-3-llama-3.1-405b:free
18804,neutral,0.0,0.0,transparency,404b9e7775fc,nousresearch/hermes-3-llama-3.1-405b:free
77063,negative,-0.5,0.0,none,e713702d6f87,nousresearch/hermes-3-llama-3.1-405b:free
86757,negative,-0.8,0.0,none,01954f14c2cf,nousresearch/hermes-3-llama-3.1-405b:free
29877,negative,-0.7,0.0,none,5784ebc09edc,nousresearch/hermes-3-llama-3.1-405b:free
80980,negative,-0.6,0.0,none,9077d67faba8,nousresearch/hermes-3-llama-3.1-405b:free
74769,positive,0.5,0.0,none,f957eae02448,nousresearch/hermes-3-llama-3.1-405b:free
97582,negative,-0.7,0.0,none,100cc32de422,nousresearch/hermes-3-llama-3.1-405b:free
5673,negative,-0.4,1.0,none,603115756820,nousresearch/hermes-3-llama-3.1-405b:free
63030,negative,-0.8,0.0,bias,caad1d1e3a21,nousresearch/hermes-3-llama-3.1-405b:free
71881,negative,-0.4,0.0,none,18e2915a5b23,nousresearch/hermes-3-llama-3.1-405b:free
47827,negative,-0.7,0.0,none,6007a2ee107f,nousresearch/hermes-3-llama-3.1-405b:free
83918,negative,-0.9,0.0,bias,3ee414de1743,nousresearch/hermes-3-llama-3.1-405b:free
76816,negative,-0.8,0.0,bias,444b5caf2d10,nousresearch/hermes-3-llama-3.1-405b:free
94747,negative,-0.6,0.0,none,80ee86193c64,nousresearch/hermes-3-llama-3.1-405b:free
76881,negative,-0.7,0.0,none,ca641bd83c3f,nousresearch/hermes-3-llama-3.1-405b:free
93218,positive,0.6,0.0,none,a0f470ec44a0,nousresearch/hermes-3-llama-3.1-405b:free
21607,neutral,0.0,0.0,transparency,26468064e6cd,nousresearch/hermes-3-llama-3.1-405b:free
19056,negative,-0.5,0.0,none,e8111aef06b2,nousresearch/hermes-3-llama-3.1-405b:free
76603,negative,-0.4,0.0,none,ad4fd7645f80,nousresearch/hermes-3-llama-3.1-405b:free
73693,negative,-0.7,0.0,none,86392a42e107,nousresearch/hermes-3-llama-3.1-405b:free
66731,positive,0.3,0.0,none,41c824653399,nousresearch/hermes-3-llama-3.1-405b:free
2408,negative,-0.6,0.0,none,dfc1f0404958,nousresearch/hermes-3-llama-3.1-405b:free
29929,negative,-0.9,0.0,none,a60950fdceb4,nousresearch/hermes-3-llama-3.1-405b:free
13473,negative,-0.8,0.0,none,71dfb99400bc,nousresearch/hermes-3-llama-3.1-405b:free
79516,negative,-0.4,0.0,none,3d34133a7a77,nousresearch/hermes-3-llama-3.1-405b:free
53532,negative,-0.5,0.0,none,c5d32d4f6af0,nousresearch/hermes-3-llama-3.1-405b:free
38319,neutral,0.0,0.0,none,64f194d112c5,nousresearch/hermes-3-llama-3.1-405b:free
52264,negative,-0.8,0.0,bias,85d9ea95c4fd,nousresearch/hermes-3-llama-3.1-405b:free
93601,negative,-0.6,0.0,none,cb3ca2d98554,nousresearch/hermes-3-llama-3.1-405b:free
74960,negative,-0.4,0.0,none,e5c5f1bdfd80,nousresearch/hermes-3-llama-3.1-405b:free
94270,negative,-0.7,0.0,none,0f8de5ac417d,nousresearch/hermes-3-llama-3.1-405b:free
18116,negative,-0.6,0.0,none,8f0e40baac31,nousresearch/hermes-3-llama-3.1-405b:free
59812,negative,-0.5,0.0,none,3744abad0fa2,nousresearch/hermes-3-llama-3.1-405b:free
6614,negative,-0.4,0.0,none,99baa534d1fb,nousresearch/hermes-3-llama-3.1-405b:free
50559,neutral,0.0,0.0,none,1fe807c265dd,nousresearch/hermes-3-llama-3.1-405b:free
54367,neutral,0.0,0.0,none,ed63b416d18f,nousresearch/hermes-3-llama-3.1-405b:free
62774,positive,0.6,0.0,none,eb5a488b311e,nousresearch/hermes-3-llama-3.1-405b:free
26248,negative,-0.4,0.0,none,7598bd8da7e2,nousresearch/hermes-3-llama-3.1-405b:free
99084,neutral,0.0,0.0,none,af522a8035e0,nousresearch/hermes-3-llama-3.1-405b:free
23283,neutral,0.0,0.0,none,79a4191114a2,nousresearch/hermes-3-llama-3.1-405b:free
58857,negative,-0.5,0.0,bias,1a766fa866be,nousresearch/hermes-3-llama-3.1-405b:free
23283,neutral,0.0,0.0,none,79a4191114a2,nousresearch/hermes-3-llama-3.1-405b:free
