id,platform,parent_id,is_reply,text,likes,posted,video
30022,youtube,,False,"Copyright? Most content is trawled freely for comment sites the internet, like this. Some is even a blatant collage of comments. Stuff copyright.",0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
74959,youtube,,False,"AI = not stoppable.., as USA can be lead by maybe 30 peoples and all the rest can be replaced by AI. Few milions more burocrats can also pick the tomatoes, strawbery's and grapes, etc. etc., for which they now put imported peoples into labourslavery for! 
Even underaged children 30.000 missing under democrats ""leadership""!",0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
14957,youtube,,False,AI scam ads must be made illegal ... this is automated fraud and theft,0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
12503,youtube,,False,"What a load of crap, a law that simultaneously makes people pay for ""Australian stories"" and guarantees that they will be told worldwide when  other stories are free.   
How about stop trying to regulate and micro manage everything that happens, especially the stuff you don't understand.  This is just another backdoor to internet censorship.",2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
38696,youtube,,False,Does that mean writers illustrators and books are NOT protected?,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
31118,youtube,,False,"The horse has already bolted, and most of what people seek to protect is low value garbage that AI will be able to produce faster and for less money. People don't seem to get what the I in AGI/ASI stands for, the machines will be more intelligent and more creative than the majority of humans. I've already seen things that you wouldn't believe an AI could do. 😬",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
67936,youtube,,False,I pray all will know the love of The Prince of Peace Jesus The Messiah ❤,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
17879,youtube,,False,"Look what they did to night life in south east Queensland and would have been a RINO if he was a Republican Crisafulli is even worse turning Australia into the most unfree state in the world, hospitality workers and shift workers are seen as a slave class to these monsters that don't have a right to a social life unless they want to use the pokies bunch of fkwits the lot of them.",0,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
22485,youtube,,False,Neitralize the Labour scourge,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
78212,youtube,,False,Maybe introduce AI to the Coalition; they're certainly lacking in intellect. 😂,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
