id,llm_label,llm_score,llm_sarcasm,llm_ethics,cache_sig,model
30022,neutral,0.0,0.0,none,6328f826e2ae,qwen/qwen3-coder:free
74959,negative,-0.8,1.0,"bias,job_displacement",f63b7fbf34dd,qwen/qwen3-coder:free
14957,negative,-0.7,0.0,transparency,1905e75bc173,qwen/qwen3-coder:free
12503,negative,-0.6,1.0,transparency,783be27d92ec,qwen/qwen3-coder:free
38696,neutral,0.0,0.0,none,f1ca659a49bc,qwen/qwen3-coder:free
31118,negative,-0.5,1.0,job_displacement,181fa378d4b0,qwen/qwen3-coder:free
67936,positive,0.8,0.0,none,1b2e6398faf5,qwen/qwen3-coder:free
17879,negative,-0.9,1.0,bias,bc3291e8863e,qwen/qwen3-coder:free
22485,negative,-0.7,1.0,bias,102a729b484f,qwen/qwen3-coder:free
78212,negative,-0.4,1.0,bias,f20a6b83f395,qwen/qwen3-coder:free
18804,neutral,0.0,0.0,transparency,404b9e7775fc,qwen/qwen3-coder:free
77063,negative,-0.3,1.0,bias,e713702d6f87,qwen/qwen3-coder:free
86757,negative,-0.6,0.0,transparency,01954f14c2cf,qwen/qwen3-coder:free
29877,negative,-0.7,0.0,transparency,5784ebc09edc,qwen/qwen3-coder:free
80980,negative,-0.5,1.0,"privacy,safety",9077d67faba8,qwen/qwen3-coder:free
74769,positive,0.6,0.0,none,f957eae02448,qwen/qwen3-coder:free
97582,negative,-0.8,0.0,"bias,transparency",100cc32de422,qwen/qwen3-coder:free
5673,negative,-0.4,1.0,bias,603115756820,qwen/qwen3-coder:free
63030,negative,-0.7,1.0,bias,caad1d1e3a21,qwen/qwen3-coder:free
71881,negative,-0.5,1.0,bias,18e2915a5b23,qwen/qwen3-coder:free
47827,negative,-0.6,0.0,transparency,6007a2ee107f,qwen/qwen3-coder:free
83918,negative,-0.8,0.0,"bias,transparency",3ee414de1743,qwen/qwen3-coder:free
76816,negative,-0.9,1.0,bias,444b5caf2d10,qwen/qwen3-coder:free
94747,negative,-0.5,1.0,bias,80ee86193c64,qwen/qwen3-coder:free
76881,negative,-0.7,1.0,bias,ca641bd83c3f,qwen/qwen3-coder:free
93218,positive,0.6,1.0,bias,a0f470ec44a0,qwen/qwen3-coder:free
21607,neutral,0.0,0.0,transparency,26468064e6cd,qwen/qwen3-coder:free
19056,negative,-0.4,1.0,bias,e8111aef06b2,qwen/qwen3-coder:free
76603,neutral,0.0,1.0,bias,ad4fd7645f80,qwen/qwen3-coder:free
73693,negative,-0.7,0.0,"bias,job_displacement",86392a42e107,qwen/qwen3-coder:free
66731,negative,-0.3,1.0,bias,41c824653399,qwen/qwen3-coder:free
2408,negative,-0.4,0.0,none,dfc1f0404958,qwen/qwen3-coder:free
29929,negative,-0.8,1.0,bias,a60950fdceb4,qwen/qwen3-coder:free
13473,negative,-0.5,0.0,none,71dfb99400bc,qwen/qwen3-coder:free
79516,negative,-0.3,0.0,none,3d34133a7a77,qwen/qwen3-coder:free
53532,neutral,0.0,0.0,privacy,c5d32d4f6af0,qwen/qwen3-coder:free
38319,neutral,0.0,0.0,none,64f194d112c5,qwen/qwen3-coder:free
52264,negative,-0.9,1.0,bias,85d9ea95c4fd,qwen/qwen3-coder:free
93601,neutral,0.0,0.0,privacy,cb3ca2d98554,qwen/qwen3-coder:free
74960,neutral,0.0,0.0,privacy,e5c5f1bdfd80,qwen/qwen3-coder:free
94270,negative,-0.6,0.0,"job_displacement,safety",0f8de5ac417d,qwen/qwen3-coder:free
18116,negative,-0.7,0.0,"privacy,safety",8f0e40baac31,qwen/qwen3-coder:free
59812,negative,-0.5,0.0,transparency,3744abad0fa2,qwen/qwen3-coder:free
6614,negative,-0.6,0.0,none,99baa534d1fb,qwen/qwen3-coder:free
50559,neutral,0.0,0.0,"job_displacement,transparency",1fe807c265dd,qwen/qwen3-coder:free
54367,positive,0.5,0.0,none,ed63b416d18f,qwen/qwen3-coder:free
62774,positive,0.6,0.0,none,eb5a488b311e,qwen/qwen3-coder:free
26248,negative,-0.4,0.0,none,7598bd8da7e2,qwen/qwen3-coder:free
99084,neutral,0.0,0.0,"safety,transparency",af522a8035e0,qwen/qwen3-coder:free
23283,positive,0.7,0.0,none,79a4191114a2,qwen/qwen3-coder:free
58857,negative,-0.5,1.0,job_displacement,1a766fa866be,qwen/qwen3-coder:free
23283,positive,0.7,0.0,none,79a4191114a2,qwen/qwen3-coder:free
