"In your opinion, what are the main benefits of AI in law enforcement?_clean","What concerns, if any, do you have about the use of AI in law enforcement?_clean",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_clean,text_all_clean,"In your opinion, what are the main benefits of AI in law enforcement?_sentiment","In your opinion, what are the main benefits of AI in law enforcement?_sent_conf","What concerns, if any, do you have about the use of AI in law enforcement?_sentiment","What concerns, if any, do you have about the use of AI in law enforcement?_sent_conf",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_sentiment,What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_sent_conf,text_all_sentiment,text_all_sent_conf,"In your opinion, what are the main benefits of AI in law enforcement?_keybert","In your opinion, what are the main benefits of AI in law enforcement?_concerns","What concerns, if any, do you have about the use of AI in law enforcement?_keybert","What concerns, if any, do you have about the use of AI in law enforcement?_concerns",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_keybert,What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_concerns,text_all_keybert,text_all_concerns,text_all
,stealing information for personal gain depending how has access,only using it if there is no other option in a hard case common statistics i g likley hood of running red lights,stealing information for personal gain depending how has access only using it if there is no other option in a hard case common statistics i g likley hood of running red lights,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,[],{},"[('stealing information', 0.8146), ('stealing', 0.5454), ('depending access', 0.5241), ('information', 0.3118), ('gain depending', 0.246), ('personal', 0.1503)]",{},"[('running red', 0.4137), ('common statistics', 0.3214), ('lights', 0.28), ('using option', 0.2114), ('hard case', 0.0993), ('likley hood', 0.0938)]",{},"[('stealing information', 0.7521), ('depending access', 0.4596), ('common statistics', 0.3211), ('running red', 0.2308), ('gain depending', 0.1831), ('likley hood', 0.0586)]",{},stealing information for personal gain depending how has access only using it if there is no other option in a hard case common statistics i g likley hood of running red lights
more fair and can reduce human resources,,having human checking over it,more fair and can reduce human resources  having human checking over it,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('fair reduce', 0.5733), ('human resources', 0.4799), ('reduce human', 0.4654), ('resources', 0.3186), ('fair', 0.249), ('human', 0.2082)]",{},[],{},"[('human checking', 0.8689), ('checking', 0.5937), ('human', 0.4261)]",{},"[('fair reduce', 0.4748), ('human checking', 0.4354), ('reduce human', 0.3327), ('human resources', 0.3318), ('fair', 0.2877), ('human', 0.1847)]",{},more fair and can reduce human resources  having human checking over it
more time efficient reduce manual administration tasks solve crime more efficiently and prevent crime better,invasion of privacy lack of transparency gathered knowledge being misused,introduction of clear laws about the use of ai in policing more transparency by the police about how ai or the data collected by ai is actually used,more time efficient reduce manual administration tasks solve crime more efficiently and prevent crime better invasion of privacy lack of transparency gathered knowledge being misused introduction of clear laws about the use of ai in policing more transparency by the police about how ai or the data collected by ai is actually used,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('crime efficiently', 0.7041), ('manual administration', 0.4114), ('tasks solve', 0.3521), ('efficient reduce', 0.3128), ('better', 0.2315), ('prevent', 0.194)]",{},"[('invasion privacy', 0.7318), ('privacy lack', 0.6739), ('lack transparency', 0.5855), ('knowledge misused', 0.5465), ('lack', 0.2169), ('gathered', 0.0872)]","{'privacy': 1, 'transparency': 1}","[('ai policing', 0.826), ('laws use', 0.428), ('transparency', 0.3387), ('data collected', 0.3166), ('introduction', 0.2167), ('actually used', 0.0762)]",{'transparency': 1},"[('ai policing', 0.7053), ('crime better', 0.5653), ('administration tasks', 0.3698), ('lack transparency', 0.3697), ('time efficient', 0.3099), ('reduce manual', 0.2012)]",{'transparency': 1},more time efficient reduce manual administration tasks solve crime more efficiently and prevent crime better invasion of privacy lack of transparency gathered knowledge being misused introduction of clear laws about the use of ai in policing more transparency by the police about how ai or the data collected by ai is actually used
reduces bias increases accuracy,safeguards,transparency rules,reduces bias increases accuracy safeguards transparency rules,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('reduces bias', 0.8546), ('bias increases', 0.7591), ('increases accuracy', 0.7316), ('accuracy', 0.5161), ('reduces', 0.4026), ('increases', 0.2374)]",{'bias': 1},"[('safeguards', 1.0)]",{},"[('transparency rules', 1.0), ('transparency', 0.8154), ('rules', 0.4709)]",{'transparency': 1},"[('safeguards transparency', 0.7212), ('transparency rules', 0.7051), ('bias increases', 0.5021), ('accuracy', 0.3971), ('rules', 0.1788), ('reduces', 0.1673)]","{'bias': 1, 'transparency': 1}",reduces bias increases accuracy safeguards transparency rules
time management,privacy,firstly educating the society about its yse,time management privacy firstly educating the society about its yse,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('time management', 1.0), ('time', 0.5777), ('management', 0.5773)]",{},"[('privacy', 1.0)]",{'privacy': 1},"[('society yse', 0.7081), ('educating society', 0.6339), ('firstly educating', 0.5654), ('yse', 0.5274), ('society', 0.4747), ('firstly', 0.2775)]",{},"[('time management', 0.6394), ('management privacy', 0.6351), ('privacy firstly', 0.5478), ('society yse', 0.4089), ('management', 0.3218), ('educating', 0.2225)]",{'privacy': 1},time management privacy firstly educating the society about its yse
faster recognition of the criminal and information collection,all the information they can collect,police getting rid of all the info they ve collected after the case is done,faster recognition of the criminal and information collection all the information they can collect police getting rid of all the info they ve collected after the case is done,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('recognition criminal', 0.6989), ('criminal information', 0.6802), ('faster recognition', 0.5808), ('information collection', 0.5193), ('faster', 0.3394), ('information', 0.3029)]",{},"[('information collect', 0.632), ('information', 0.5543), ('collect', 0.2893)]",{},"[('police getting', 0.5832), ('rid info', 0.522), ('collected case', 0.4872), ('info collected', 0.4622), ('case', 0.2917), ('getting', 0.1197)]",{},"[('criminal information', 0.6307), ('collect police', 0.5444), ('faster recognition', 0.4786), ('information collection', 0.4652), ('collected case', 0.4438), ('getting rid', 0.1329)]",{},faster recognition of the criminal and information collection all the information they can collect police getting rid of all the info they ve collected after the case is done
more efficient if trained well can reduce biases,data protection potential biases,transparency in what the ai is doing and how it s handling your data,more efficient if trained well can reduce biases data protection potential biases transparency in what the ai is doing and how it s handling your data,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('efficient trained', 0.7496), ('reduce biases', 0.673), ('trained reduce', 0.539), ('efficient', 0.4801), ('trained', 0.4629), ('reduce', 0.1918)]",{},"[('data protection', 0.7673), ('protection potential', 0.5306), ('protection', 0.5132), ('potential biases', 0.5076), ('data', 0.3848), ('potential', 0.0922)]",{},"[('transparency ai', 0.7822), ('transparency', 0.5968), ('ai handling', 0.564), ('ai', 0.5451), ('data', 0.4046), ('handling data', 0.3232)]",{'transparency': 1},"[('efficient trained', 0.6042), ('ai handling', 0.4995), ('biases transparency', 0.3738), ('data protection', 0.2587), ('potential', 0.067), ('reduce', 0.0438)]",{'transparency': 1},more efficient if trained well can reduce biases data protection potential biases transparency in what the ai is doing and how it s handling your data
handling monotonous time consuming tasks that don t rely on or appear to rely on people s personal identity such as cybercrime detection and automatic number plate recognition,facial recognition and cctv analytics that can misidentify people and their intentions,data retention limitations of how ai can be used review from human officers before actions are taken,handling monotonous time consuming tasks that don t rely on or appear to rely on people s personal identity such as cybercrime detection and automatic number plate recognition facial recognition and cctv analytics that can misidentify people and their intentions data retention limitations of how ai can be used review from human officers before actions are taken,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('identity cybercrime', 0.611), ('plate recognition', 0.3725), ('automatic number', 0.3613), ('tasks rely', 0.3527), ('monotonous time', 0.2255), ('people', 0.1992)]",{},"[('cctv analytics', 0.6113), ('recognition', 0.4469), ('misidentify people', 0.4417), ('facial', 0.4391), ('intentions', 0.3661), ('analytics misidentify', 0.2924)]",{},"[('officers actions', 0.5543), ('data retention', 0.495), ('limitations ai', 0.4879), ('review human', 0.4145), ('used review', 0.3505), ('used', 0.0505)]",{},"[('identity cybercrime', 0.5394), ('limitations ai', 0.4944), ('officers actions', 0.4629), ('review human', 0.3368), ('tasks rely', 0.3135), ('plate recognition', 0.1686)]",{},handling monotonous time consuming tasks that don t rely on or appear to rely on people s personal identity such as cybercrime detection and automatic number plate recognition facial recognition and cctv analytics that can misidentify people and their intentions data retention limitations of how ai can be used review from human officers before actions are taken
data analysis,lack of transparency,human review and clear parameters for when ai is used,data analysis lack of transparency human review and clear parameters for when ai is used,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('data analysis', 1.0), ('analysis', 0.7926), ('data', 0.6874)]",{},"[('lack transparency', 0.9766), ('transparency', 0.7599), ('lack', 0.439)]",{'transparency': 1},"[('parameters ai', 0.6487), ('ai used', 0.6258), ('human review', 0.5889), ('clear parameters', 0.3698), ('human', 0.309), ('clear', 0.3016)]",{},"[('ai used', 0.5331), ('lack transparency', 0.4944), ('parameters ai', 0.4842), ('human review', 0.428), ('data analysis', 0.3745), ('clear parameters', 0.2459)]",{'transparency': 1},data analysis lack of transparency human review and clear parameters for when ai is used
create efficiencies minimise time on administrative activities would also speed up manual processes,who holds the data is the information safe from foreign interference,data held in australia ai activities reviewed by humans,create efficiencies minimise time on administrative activities would also speed up manual processes who holds the data is the information safe from foreign interference data held in australia ai activities reviewed by humans,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('create efficiencies', 0.5702), ('manual processes', 0.5134), ('minimise time', 0.5027), ('activities speed', 0.4842), ('time administrative', 0.4547), ('create', 0.136)]",{},"[('foreign interference', 0.6753), ('information safe', 0.6323), ('data information', 0.5396), ('safe foreign', 0.4734), ('safe', 0.2076), ('holds', 0.0273)]",{},"[('ai activities', 0.6621), ('australia ai', 0.6612), ('reviewed humans', 0.3758), ('activities reviewed', 0.3529), ('data held', 0.3229), ('australia', 0.2802)]",{},"[('ai activities', 0.482), ('interference data', 0.4527), ('create efficiencies', 0.4032), ('time administrative', 0.3659), ('information safe', 0.3128), ('held australia', 0.1993)]",{},create efficiencies minimise time on administrative activities would also speed up manual processes who holds the data is the information safe from foreign interference data held in australia ai activities reviewed by humans
