model,T,P,count
Qwen,negative,negative,32
Qwen,neutral,negative,2
Qwen,positive,negative,0
Qwen,negative,neutral,4
Qwen,neutral,neutral,7
Qwen,positive,neutral,0
Qwen,negative,positive,0
Qwen,neutral,positive,2
Qwen,positive,positive,4
Llama,negative,negative,35
Llama,neutral,negative,3
Llama,positive,negative,0
Llama,negative,neutral,1
Llama,neutral,neutral,6
Llama,positive,neutral,0
Llama,negative,positive,0
Llama,neutral,positive,2
Llama,positive,positive,4
Hermes,negative,negative,35
Hermes,neutral,negative,4
Hermes,positive,negative,0
Hermes,negative,neutral,0
Hermes,neutral,neutral,7
Hermes,positive,neutral,0
Hermes,negative,positive,1
Hermes,neutral,positive,0
Hermes,positive,positive,4
VADER,negative,negative,14
VADER,neutral,negative,2
VADER,positive,negative,0
VADER,negative,neutral,3
VADER,neutral,neutral,3
VADER,positive,neutral,0
VADER,negative,positive,19
VADER,neutral,positive,6
VADER,positive,positive,4
